Ticker,Name,"OPM
","Mcap
","DivY
","ICB_sector
","ICB_supersector
","P/B
","P/E
"
2207 JT Equity,Meito Sangyo Co Ltd,2.511631966,27675795456,,Food Products,Food & Beverage,0.606094956,29.48859406
4574 JT Equity,Taiko Pharmaceutical Co Ltd,18.65330124,28043786240,1.265182186,Pharmaceuticals,Health Care,1.712857127,29.40519905
7476 JT Equity,As One Corp,10.89130306,1.47E+11,1.650211566,Medical Equipment,Health Care,2.651093245,29.39834976
9828 JT Equity,Genki Sushi Co Ltd,3.168220997,25014267904,,Restaurants & Bars,Travel & Leisure,3.523202181,29.27843666
6383 JT Equity,Daifuku Co Ltd,7.199874878,7.53E+11,1.111062186,Industrial Machinery,Industrial Goods & Services,4.193876266,29.24551392
7947 JT Equity,FP Corp,8.779460907,2.95E+11,1.218093093,Containers & Packaging,Industrial Goods & Services,2.622964144,29.21180725
4845 JT Equity,Scala Inc,35.03977966,13582341120,2.487562189,Software,Technology,2.169102192,29.15155983
6963 JT Equity,Rohm Co Ltd,9.04150486,1.10E+12,2.454361055,Semiconductors,Technology,1.366746187,29.13711548
9612 JT Equity,Luckland Co Ltd,2.757251024,20375623680,,Heavy Construction,Construction & Materials,2.850288153,29.12413979
2899 JT Equity,Nagatanien Holdings Co Ltd,3.843434095,55463960576,,Food Products,Food & Beverage,1.543087006,29.11392403
4301 JT Equity,Amuse Inc,10.58534718,57360441344,0.811688312,Business Support Services,Industrial Goods & Services,2.155479431,29.1115303
3179 JT Equity,Syuppin Co Ltd,4.388608932,29423243264,,Internet,Technology,7.184475899,28.98926735
4320 JT Equity,CE Holdings Co Ltd,2.110707045,6162956800,,Software,Technology,1.658406615,28.92906952
6098 JT Equity,Recruit Holdings Co Ltd,6.913473129,4.28E+12,0.958194404,Business Training Employment Agency,Industrial Goods & Services,5.048192978,28.82332802
2676 JT Equity,Takachiho Koheki Co Ltd,2.628731966,13080934400,,Electronic Equipment,Industrial Goods & Services,0.8487674,28.80824471
9052 JT Equity,Sanyo Electric Railway Co Ltd,7.096666813,60984864768,,Travel & Tourism,Travel & Leisure,1.587639809,28.76856613
7873 JT Equity,Arrk Corp,4.235023022,52450439168,,Industrial Machinery,Industrial Goods & Services,2.06935811,28.74109268
6199 JT Equity,SERAKU Co Ltd,7.104522228,11169969152,,Computer Services,Technology,5.049742699,28.73806953
4680 JT Equity,Round One Corp,7.611420155,1.49E+11,1.277955272,Recreational Services,Travel & Leisure,2.861260891,28.71559715
3091 JT Equity,BRONCO BILLY Co Ltd,12.37682629,53878108160,0.693706272,Restaurants & Bars,Travel & Leisure,3.434630394,28.68030357
8111 JT Equity,Goldwin Inc,6.409835815,1.53E+11,0.66096423,Clothing & Accessories,Personal & Household Goods,4.214286327,28.67143631
3391 JT Equity,Tsuruha Holdings Inc,6.423803806,7.14E+11,1.004464286,Drug Retailers,Retail,3.855858326,28.5686264
2910 JT Equity,Rock Field Co Ltd,5.954258919,57569017856,1.582131224,Food Products,Food & Beverage,2.100601435,28.51986122
9672 JT Equity,Tokyotokeiba Co Ltd,28.32502174,1.16E+11,1.013597033,Recreational Services,Travel & Leisure,1.927220941,28.5073967
8168 JT Equity,Keiyo Co Ltd,1.157415986,36869345280,2.208480565,Home Improvement Retailers,Retail,0.848856986,28.42649841
7717 JT Equity,V Technology Co Ltd,11.93141747,1.46E+11,0.97532877,Electronic Equipment,Industrial Goods & Services,9.135666847,28.396595
3661 JT Equity,m-up Inc,11.4770813,8041322496,,Software,Technology,3.570219278,28.34168243
6413 JT Equity,Riso Kagaku Corp,4.811132908,1.00E+11,2.8395646,Electronic Office Equipment,Technology,1.23596704,28.31300926
7860 JT Equity,Avex Inc,3.544729948,65611145216,3.434065934,Publishing,Media,1.287404537,28.30867386
2331 JT Equity,Sohgo Security Services Co Ltd,6.876130104,5.35E+11,1.145038168,Business Support Services,Industrial Goods & Services,2.52417922,28.25559425
6036 JT Equity,KeePer Technical Laboratory Co Ltd,14.50666142,19615909888,0.718907261,Specialty Retailers,Retail,4.612181187,28.25512886
2897 JT Equity,Nissin Foods Holdings Co Ltd,5.773075104,8.75E+11,1.27367652,Food Products,Food & Beverage,2.11584115,28.19726753
2229 JT Equity,Calbee Inc,11.42579842,4.87E+11,1.169543947,Food Products,Food & Beverage,3.581541538,28.17119408
6857 JT Equity,Advantest Corp,8.918264389,4.54E+11,1.172262755,Semiconductors,Technology,3.453022718,28.14393616
3097 JT Equity,Monogatari Corp/The,5.783156872,67922853888,0.730088496,Restaurants & Bars,Travel & Leisure,4.743956089,28.11784744
6967 JT Equity,Shinko Electric Industries Co Ltd,2.336121082,1.09E+11,3.109452736,Semiconductors,Technology,0.807425678,28.10206223
8801 JT Equity,Mitsui Fudosan Co Ltd,13.65265274,2.70E+12,1.377962216,Real Estate Holding & Development,Real Estate,1.266368032,28.0831089
9613 JT Equity,NTT Data Corp,6.759644032,1.59E+12,1.330706048,Computer Services,Technology,1.87490356,28.04733086
3817 JT Equity,SRA Holdings,10.6790657,47853600768,3.503184713,Computer Services,Technology,1.933399558,27.90863037
8130 JT Equity,Sangetsu Corp,5.582424164,1.47E+11,,Furnishings,Personal & Household Goods,1.350588799,27.8830471
3199 JT Equity,Watahan & Co Ltd,2.122339964,40432148480,0.658536585,Nondurable Household Products,Personal & Household Goods,3.080411673,27.84380341
9644 JT Equity,Tanabe Management Consulting Co Ltd,10.47521877,18462607360,,Business Support Services,Industrial Goods & Services,1.760532737,27.83423424
6028 JT Equity,TechnoPro Holdings Inc,9.637844086,2.28E+11,1.941337585,Computer Services,Technology,7.261649132,27.70303154
2819 JT Equity,Ebara Foods Industry Inc,3.628930092,21858666496,,Food Products,Food & Beverage,0.919075787,27.69598007
6706 JT Equity,Denki Kogyo Co Ltd,2.378148079,44578533376,1.421800948,Telecommunications Equipment,Technology,0.869701684,27.60816383
2698 JT Equity,Can Do Co Ltd,3.012249947,30152818688,,Broadline Retailers,Retail,2.374586582,27.56823158
3319 JT Equity,Golf Digest Online Inc,5.627425194,19461810176,0.892018779,Recreational Products,Personal & Household Goods,3.233097315,27.53360939
3941 JT Equity,Rengo Co Ltd,4.334093094,2.56E+11,1.272534464,Containers & Packaging,Industrial Goods & Services,0.932494044,27.49271202
9449 JT Equity,GMO internet Inc,11.43683243,2.20E+11,1.459205001,Internet,Technology,5.027039051,27.48311043
7447 JT Equity,Nagaileben Co Ltd,30.80650711,1.17E+11,1.960784314,Clothing & Accessories,Personal & Household Goods,2.824288368,27.46611595
5332 JT Equity,TOTO Ltd,8.464515686,1.05E+12,1.214514408,Building Materials & Fixtures,Construction & Materials,3.135271311,27.42268562
5727 JT Equity,Toho Titanium Co Ltd,11.93771553,94006329344,0.587566338,Nonferrous Metals,Basic Resources,2.299174309,27.39356232
7780 JT Equity,Menicon Co Ltd,5.426877975,1.01E+11,0.912408759,Medical Supplies,Health Care,2.363110542,27.33439827
3912 JT Equity,Mobile Factory Inc,30.19268417,14336538624,,Specialty Retailers,Retail,6.284881592,27.30293465
6615 JT Equity,UMC Electronics Co Ltd,2.567177057,46043471872,1.090909091,Electrical Components & Equipment,Industrial Goods & Services,2.431967735,27.2966404
9007 JT Equity,Odakyu Electric Railway Co Ltd,9.549338341,8.07E+11,0.921953481,Travel & Tourism,Travel & Leisure,2.173981667,27.27668953
2371 JT Equity,Kakaku.com Inc,46.93173218,4.06E+11,1.642056046,Specialized Consumer Services,Retail,13.80708313,27.24957657
6083 JT Equity,ERI Holdings Co Ltd,2.551592112,8968097792,2.620087336,Real Estate Services,Real Estate,4.234638691,27.13913155
7818 JT Equity,Transaction Co Ltd,10.67325306,28668993536,,Durable Household Products,Personal & Household Goods,4.041595936,27.06107903
4708 JT Equity,Relia Inc,4.54422617,92091531264,2.735849057,Media Agencies,Media,1.944596291,26.98574257
6104 JT Equity,Toshiba Machine Co Ltd,4.017892838,1.08E+11,1.941747573,Industrial Machinery,Industrial Goods & Services,1.078326702,26.98353195
8184 JT Equity,Shimachu Co Ltd,5.380153179,1.70E+11,2.256699577,Home Improvement Retailers,Retail,0.820649087,26.90702057
4977 JT Equity,Nitta Gelatin Inc,4.421052933,15066658816,1.463414634,Specialty Chemicals,Chemicals,0.905821323,26.87643433
6457 JT Equity,Glory Ltd,9.149477959,2.70E+11,1.959287532,Financial Administration,Industrial Goods & Services,1.316586971,26.86812019
4613 JT Equity,Kansai Paint Co Ltd,10.69238567,6.67E+11,1.103843009,Specialty Chemicals,Chemicals,2.265865564,26.80724144
6741 JT Equity,Nippon Signal Company Ltd,5.197604179,68818083840,2.383316783,Electrical Components & Equipment,Industrial Goods & Services,0.868134618,26.70733452
3903 JT Equity,Gumi Inc,6.362531185,30866528256,,Toys,Personal & Household Goods,2.127649069,26.69635963
7442 JT Equity,Nakayamafuku Co Ltd,1.320637941,15221502976,,Durable Household Products,Personal & Household Goods,0.71005863,26.67375183
3549 JT Equity,Kusuri no Aoki Holdings Co Ltd,5.656339169,2.24E+11,0.236286909,Drug Retailers,Retail,5.316129208,26.61067581
9887 JT Equity,Matsuya Foods Co Ltd,5.426249981,71489880064,,Restaurants & Bars,Travel & Leisure,1.845616937,26.58631706
8798 JT Equity,Advance Create Co Ltd,12.82844257,21547237376,,Life Insurance,Insurance,4.66836977,26.53752518
3593 JT Equity,Hogy Medical Co Ltd,14.28300571,1.45E+11,1.420215997,Medical Supplies,Health Care,1.480465293,26.44652557
2154 JT Equity,Trust Tech Inc,7.483087063,70637912064,1.610541728,Business Training Employment Agency,Industrial Goods & Services,8.033328056,26.44621658
6513 JT Equity,Origin Electric Co Ltd,2.972230911,11604375552,,Electrical Components & Equipment,Industrial Goods & Services,0.513091266,26.43871307
6362 JT Equity,Ishii Iron Works Co Ltd,4.887784958,7530160128,,Oil Equipment & Services,Oil & Gas,0.806719542,26.43815613
5981 JT Equity,Tokyo Rope Manufacturing Co Ltd,5.372886181,36082962432,1.80342651,Iron & Steel,Basic Resources,1.42339313,26.41734123
8802 JT Equity,Mitsubishi Estate Co Ltd,17.10450935,2.59E+12,1.265146035,Real Estate Holding & Development,Real Estate,1.543366075,26.35631561
6816 JT Equity,Alpine Electronics Inc,2.265177965,1.48E+11,1.417099669,Auto Parts,Automobiles & Parts,0.9563604,26.34395218
2359 JT Equity,Core Corp,5.97721386,19551975424,,Software,Technology,2.07913661,26.23929977
9041 JT Equity,Kintetsu Group Holdings Co Ltd,5.380510807,8.01E+11,1.19047619,Travel & Tourism,Travel & Leisure,2.215107441,26.16659355
6908 JT Equity,Iriso Electronics Co Ltd,17.74043274,1.61E+11,0.867790175,Electronic Equipment,Industrial Goods & Services,3.141998053,26.13050461
4528 JT Equity,Ono Pharmaceutical Co Ltd,29.52813911,1.49E+12,1.704086751,Pharmaceuticals,Health Care,2.701331854,26.13019943
6586 JT Equity,Makita Corp,15.07569885,1.40E+12,1.241875879,Durable Household Products,Personal & Household Goods,2.445024967,26.12447739
9519 JT Equity,RENOVA Inc,33.80644989,54957473792,,Alternative Electricity,Utilities,8.14615345,26.08962631
9143 JT Equity,SG Holdings Co Ltd,5.318040848,7.66E+11,1.463822668,Delivery Services,Industrial Goods & Services,2.600262403,26.08553314
4452 JT Equity,Kao Corp,13.74970531,3.85E+12,1.548618111,Personal Products,Personal & Household Goods,4.753698826,26.07698822
6849 JT Equity,Nihon Kohden Corp,8.169709206,2.62E+11,1.205032637,Medical Equipment,Health Care,2.36663413,26.04538918
6287 JT Equity,Sato Holdings Corp,5.742131233,1.10E+11,2.06022187,Electronic Office Equipment,Technology,1.89139545,26.04424667
3696 JT Equity,Ceres Inc/Japan,17.69617081,18384449536,0.49170252,Media Agencies,Media,3.169962645,25.94151497
3762 JT Equity,TechMatrix Corp,7.47128582,39961350144,1.115241636,Computer Services,Technology,5.276008129,25.8749218
3191 JT Equity,Joyful Honda Co Ltd,4.772999763,1.88E+11,1.316872428,Home Improvement Retailers,Retail,1.240081787,25.8364048
2791 JT Equity,Daikokutenbussan Co Ltd,3.766917944,76822421504,,Food Retailers & Wholesalers,Retail,2.300132036,25.78170395
3073 JT Equity,DD Holdings Co Ltd,4.891510963,26749050880,0.438596491,Restaurants & Bars,Travel & Leisure,4.665930271,25.77358437
4951 JT Equity,ST Corp,6.20833683,55016001536,1.086956522,Specialty Chemicals,Chemicals,1.873058319,25.74534416
3648 JT Equity,AGS Corp,4.467570782,15740111872,,Computer Services,Technology,1.380728245,25.73304176
6037 JT Equity,FIRSTLOGIC INC/JP,46.73447037,10148843520,,Media Agencies,Media,4.145771027,25.72366524
4665 JT Equity,Duskin Co Ltd,3.749073029,1.48E+11,,Specialized Consumer Services,Retail,0.966316283,25.61952019
4021 JT Equity,Nissan Chemical Industries Ltd,17.43755913,7.04E+11,1.404386201,Specialty Chemicals,Chemicals,4.11295414,25.61565399
2353 JT Equity,Nippon Parking Development Co Ltd,13.95024204,61318152192,2.272727273,Business Support Services,Industrial Goods & Services,7.413303852,25.6149044
9008 JT Equity,Keio Corp,9.063570976,5.92E+11,1.072204126,Travel & Tourism,Travel & Leisure,1.595543981,25.57693863
8589 JT Equity,Aplus Financial Co Ltd,11.18743324,1.78E+11,,Consumer Finance,Financial Services,15.68168259,25.49019432
8061 JT Equity,Seika Corp,2.020670891,35872178176,,Industrial Machinery,Industrial Goods & Services,1.237511992,25.48780251
3608 JT Equity,TSI Holdings Co Ltd,1.394598007,84520853504,2.190237797,Clothing & Accessories,Personal & Household Goods,0.725059032,25.48237991
4728 JT Equity,Tose Co Ltd,6.545197964,9168150528,2.116850127,Software,Technology,1.536027789,25.45807266
4578 JT Equity,Otsuka Holdings Co Ltd,6.844872952,2.94E+12,1.926606023,Pharmaceuticals,Health Care,1.594473481,25.42029953
3659 JT Equity,Nexon Co Ltd,38.52397919,1.45E+12,0.091074681,Toys,Personal & Household Goods,3.116821766,25.40823746
2309 JT Equity,CMIC Holdings Co Ltd,5.969486237,48690343936,1.068791294,Medical Supplies,Health Care,2.083214998,25.40682602
6651 JT Equity,Nitto Kogyo Corp,6.187925816,75335999488,2.283105023,Electrical Components & Equipment,Industrial Goods & Services,0.870486021,25.35822868
4205 JT Equity,Zeon Corp,10.69695187,3.65E+11,1.113898666,Specialty Chemicals,Chemicals,1.328278899,25.3000164
7532 JT Equity,Don Quijote Holdings Co Ltd,5.572527885,8.92E+11,0.491725164,Broadline Retailers,Retail,3.230125666,25.27221489
8114 JT Equity,Descente Ltd,6.389519215,1.37E+11,1.295774648,Clothing & Accessories,Personal & Household Goods,1.795676947,25.21306801
4581 JT Equity,Taisho Pharmaceutical Holdings Co Ltd,11.42663097,8.96E+11,1.126760563,Pharmaceuticals,Health Care,1.174141884,25.1550045
2651 JT Equity,Lawson Inc,24.86269188,6.76E+11,3.809881465,Food Retailers & Wholesalers,Retail,2.44467783,25.13256264
7012 JT Equity,Kawasaki Heavy Industries Ltd,3.026012897,5.71E+11,1.844353815,Commercial Vehicles & Trucks,Industrial Goods & Services,1.266469717,25.13042831
6171 JT Equity,C. E. Management Integrated Laboratory C,9.304185867,8175826432,,Heavy Construction,Construction & Materials,2.835186481,25.12584877
4307 JT Equity,Nomura Research Institute Ltd,13.78265762,1.30E+12,1.739325016,Computer Services,Technology,2.97868228,25.08539772
7271 JT Equity,Yasunaga Corp,4.318174839,28490883072,,Auto Parts,Automobiles & Parts,2.314466,25.02557182
3918 JT Equity,PCI Holdings Inc/JP,6.294488907,13111867392,1.70178282,Computer Services,Technology,2.68995595,24.99392319
7482 JT Equity,Shimojima Co Ltd,3.949271917,28187594752,,Containers & Packaging,Industrial Goods & Services,0.816703498,24.98387527
2124 JT Equity,JAC Recruitment Co Ltd,33.09025192,93856718848,2.859656841,Business Training Employment Agency,Industrial Goods & Services,7.740925312,24.9486866
6951 JT Equity,Jeol Ltd,2.08228898,93416112128,0.732217573,Electronic Equipment,Industrial Goods & Services,2.710039616,24.88935089
3385 JT Equity,Yakuodo Co Ltd,4.244284153,72647614464,,Drug Retailers,Retail,4.295413017,24.88722992
9989 JT Equity,Sundrug Co Ltd,6.445757866,7.01E+11,1.034482759,Drug Retailers,Retail,4.097732544,24.82522392
7427 JT Equity,Echo Trading Co Ltd,0.277282,4358386176,,Food Products,Food & Beverage,0.485041738,24.7667408
3186 JT Equity,Nextage Co Ltd,2.92059207,68094599168,0.225,Specialty Retailers,Retail,4.392335415,24.74226761
1419 JT Equity,Tama Home Co Ltd,2.484698057,41957896192,,Real Estate Holding & Development,Real Estate,3.372279167,24.72109222
3501 JT Equity,Suminoe Textile Co Ltd,1.350507021,22854432768,2.352941176,Furnishings,Personal & Household Goods,0.654611111,24.688797
3630 JT Equity,Densan System Co Ltd,3.869354963,20822960128,,Computer Services,Technology,2.222823143,24.64939499
2607 JT Equity,Fuji Oil Holdings Inc,6.731910229,2.93E+11,1.384328358,Food Products,Food & Beverage,1.816426635,24.59437752
6806 JT Equity,Hirose Electric Co Ltd,24.74479485,6.06E+11,3.152992118,Electrical Components & Equipment,Industrial Goods & Services,1.728827596,24.58750153
2531 JT Equity,Takara Holdings Inc,5.786252975,2.47E+11,,Distillers & Vintners,Food & Beverage,1.689703941,24.58358574
3607 JT Equity,Kuraudia Holdings Co Ltd,2.390197992,5309681664,,Specialized Consumer Services,Retail,0.807418227,24.51901817
3030 JT Equity,HUB Co Ltd,7.076385975,12189054976,1.201478743,Restaurants & Bars,Travel & Leisure,3.178967476,24.48739433
8842 JT Equity,Tokyo Rakutenchi Co Ltd,15.35655975,34183895040,,Real Estate Holding & Development,Real Estate,1.036649227,24.47986031
5947 JT Equity,Rinnai Corp,10.31200027,5.34E+11,0.870200181,Durable Household Products,Personal & Household Goods,1.889826417,24.36208534
6335 JT Equity,Tokyo Kikai Seisakusho Ltd,2.861232996,4595211264,,Industrial Machinery,Industrial Goods & Services,0.57937789,24.34241867
3654 JT Equity,Hito Communications Inc,7.47903204,32739100672,0.820120284,Business Support Services,Industrial Goods & Services,3.547846079,24.31857491
9075 JT Equity,Fukuyama Transporting Co Ltd,4.319512844,2.58E+11,1.082251082,Trucking,Industrial Goods & Services,0.974730849,24.23275948
3393 JT Equity,Startia Holdings Inc,2.581008911,9359725568,,Telecommunications Equipment,Technology,1.952569842,24.21833611
9104 JT Equity,Mitsui OSK Lines Ltd,0.170038,3.78E+11,0.763258766,Marine Transportation,Industrial Goods & Services,0.623479187,24.20914459
6235 JT Equity,Optorun Co Ltd,21.94802284,1.44E+11,1.290322581,Industrial Machinery,Industrial Goods & Services,5.892654419,24.18995285
6674 JT Equity,GS Yuasa Corp,6.425383091,2.39E+11,1.856649396,Auto Parts,Automobiles & Parts,1.413727403,24.18849564
9742 JT Equity,Ines Corp,6.25389719,32289400832,1.771479185,Computer Services,Technology,0.778966546,24.1394043
2464 JT Equity,Business Breakthrough Inc,6.851758957,6657364992,2.141327623,Business Training Employment Agency,Industrial Goods & Services,1.41571033,24.12190056
9551 JT Equity,METAWATER Co Ltd,5.665782928,81140555776,1.853035144,Industrial Machinery,Industrial Goods & Services,1.729003787,24.08803749
9046 JT Equity,Kobe Electric Railway Co Ltd,9.69024086,31198261248,,Travel & Tourism,Travel & Leisure,1.739958525,24.03428078
7839 JT Equity,Shoei Co Ltd,22.13043213,57706356736,2.3150358,Durable Household Products,Personal & Household Goods,4.902089119,24.03074074
9627 JT Equity,Ain Holdings Inc,5.869759083,2.73E+11,0.670996084,Drug Retailers,Retail,2.895773172,24.01596832
3093 JT Equity,Treasure Factory Co Ltd,3.783308029,8626082816,2.136181575,Specialty Retailers,Retail,2.146736622,24.01487732
2398 JT Equity,Tsukui Corp,5.182254791,62098907136,1.147413087,Health Care Providers,Health Care,2.918177128,23.97873688
6752 JT Equity,Panasonic Corp,3.654911995,3.83E+12,1.853568244,Consumer Electronics,Personal & Household Goods,2.083830357,23.97554779
4186 JT Equity,Tokyo Ohka Kogyo Co Ltd,11.21400642,1.77E+11,1.671632107,Semiconductors,Technology,1.119552016,23.96987724
9793 JT Equity,Daiseki Co Ltd,17.84487152,1.40E+11,1.296578914,Waste & Disposal Services,Industrial Goods & Services,2.288656712,23.92800331
9509 JT Equity,Hokkaido Electric Power Co Inc,3.904942989,1.52E+11,1.013171622,Conventional Electricity,Utilities,1.021393061,23.90559769
3673 JT Equity,Broadleaf Co Ltd,16.547966,51004231680,2.399232246,Computer Services,Technology,2.337379694,23.86077499
3222 JT Equity,United Super Markets Holdings Inc,2.076282978,1.81E+11,1.165331391,Food Retailers & Wholesalers,Retail,1.265506744,23.85627174
4559 JT Equity,ZERIA Pharmaceutical Co Ltd,7.002110958,1.13E+11,,Pharmaceuticals,Health Care,1.759948254,23.85208321
9616 JT Equity,Kyoritsu Maintenance Co Ltd,8.698500633,1.92E+11,0.741044028,Real Estate Services,Real Estate,2.70020628,23.85137558
9058 JT Equity,Trancom Co Ltd,4.261400223,78876508160,1.082024899,Trucking,Industrial Goods & Services,2.522124052,23.84742737
6814 JT Equity,Furuno Electric Co Ltd,1.949818015,25037223936,1.01910828,Electronic Equipment,Industrial Goods & Services,0.643220246,23.84568787
5301 JT Equity,Tokai Carbon Co Ltd,10.81014919,2.97E+11,1.906202781,Commodity Chemicals,Chemicals,2.239363194,23.84559822
2726 JT Equity,PAL GROUP Holdings Co Ltd,5.714007854,62397792256,2.780867631,Apparel Retailers,Retail,1.54206574,23.83140373
3349 JT Equity,Cosmos Pharmaceutical Corp,4.423231125,4.21E+11,0.418248695,Drug Retailers,Retail,4.044018269,23.82538223
9792 JT Equity,NichiiGakkan Co Ltd,1.520503044,87548526592,1.834862385,Business Training Employment Agency,Industrial Goods & Services,2.062924862,23.82276917
6962 JT Equity,Daishinku Corp,4.507258892,11564931072,2.34741784,Electrical Components & Equipment,Industrial Goods & Services,0.380940199,23.79445076
2487 JT Equity,CDG Co Ltd,5.979695797,11681280000,,Media Agencies,Media,2.188894987,23.72323036
4514 JT Equity,ASKA Pharmaceutical Co Ltd,3.694849968,52813209600,,Pharmaceuticals,Health Care,1.113382339,23.70630455
6947 JT Equity,Zuken Inc,7.190530777,34388877312,,Electronic Equipment,Industrial Goods & Services,1.190995097,23.70261192
7599 JT Equity,IDOM Inc,2.454762936,89251479552,1.277449145,Specialty Retailers,Retail,2.068126202,23.67182541
5187 JT Equity,Create Medic Co Ltd,8.216682434,11461892096,,Medical Supplies,Health Care,0.858547926,23.60762787
6278 JT Equity,Union Tool Co,15.9491396,75046813696,1.675900277,Industrial Machinery,Industrial Goods & Services,1.189345479,23.48975754
3774 JT Equity,Internet Initiative Japan Inc,3.253906012,95996862464,1.362530414,Internet,Technology,1.315763235,23.47766495
3154 JT Equity,Medius Holdings Co Ltd,0.617772996,19317360640,,Medical Equipment,Health Care,1.931777596,23.43270683
9375 JT Equity,Kintetsu World Express Inc,2.756520033,1.46E+11,1.29886195,Delivery Services,Industrial Goods & Services,1.208491683,23.42074966
3835 JT Equity,Ebase Co Ltd,23.13791656,15635131392,,Software,Technology,4.802762508,23.40481949
2871 JT Equity,Nichirei Corp,5.431042194,4.36E+11,0.995184591,Food Products,Food & Beverage,2.557790041,23.39994049
4732 JT Equity,USS Co Ltd,48.22340393,6.98E+11,2.129919175,Specialty Retailers,Retail,3.440138102,23.36585808
7458 JT Equity,Daiichikosho Co Ltd,14.71416378,3.17E+11,2.030685921,Recreational Products,Personal & Household Goods,2.574857712,23.34991074
4543 JT Equity,Terumo Corp,14.89369202,2.16E+12,0.859167274,Medical Equipment,Health Care,3.609943867,23.340868
2335 JT Equity,Cube System Inc,6.054814816,12361390080,,Business Support Services,Industrial Goods & Services,2.258466482,23.31412125
6146 JT Equity,Disco Corp,23.35325241,8.43E+11,1.653046447,Industrial Machinery,Industrial Goods & Services,4.310054302,23.30914307
2206 JT Equity,Ezaki Glico Co Ltd,6.866600037,3.92E+11,0.743362832,Food Products,Food & Beverage,1.778621793,23.27018166
9435 JT Equity,Hikari Tsushin Inc,9.689844131,8.28E+11,1.674351585,Mobile Telecommunications,Telecommunications,3.755415678,23.24895668
6395 JT Equity,Tadano Ltd,10.28425789,2.12E+11,1.618814905,Commercial Vehicles & Trucks,Industrial Goods & Services,1.407826424,23.24293709
7649 JT Equity,Sugi Holdings Co Ltd,5.417386055,3.81E+11,1.091599702,Drug Retailers,Retail,2.352116108,23.22351646
9692 JT Equity,Computer Engineering & Consulting Ltd,8.1501894,65047998464,1.445086705,Software,Technology,2.255904436,23.19330215
3837 JT Equity,Ad-sol Nissin Corp,6.599556923,12052100096,,Computer Services,Technology,3.40023756,23.19297218
8140 JT Equity,Ryosan Co Ltd,2.137126923,1.10E+11,,Semiconductors,Technology,0.99561727,23.18639565
4245 JT Equity,Daiki Axis Co Ltd,3.407463074,17744584704,,Waste & Disposal Services,Industrial Goods & Services,2.511557817,23.16389656
6997 JT Equity,Nippon Chemi-Con Corp,2.869891882,42500141056,1.151631478,Electrical Components & Equipment,Industrial Goods & Services,0.65271914,23.12882996
2201 JT Equity,Morinaga & Co Ltd/Japan,8.829000473,2.75E+11,0.986193294,Food Products,Food & Beverage,2.567645073,23.10752869
1964 JT Equity,Chugai Ro Co Ltd,2.48506999,22744799232,,Industrial Machinery,Industrial Goods & Services,1.111032128,23.0677948
9766 JT Equity,Konami Holdings Corp,15.81362438,7.66E+11,1.343211628,Toys,Personal & Household Goods,2.869889259,23.04704475
8086 JT Equity,Nipro Corp,7.998353958,2.63E+11,2.5390625,Medical Supplies,Health Care,1.387176991,23.0077877
6901 JT Equity,Sawafuji Electric Co Ltd,1.747012019,8618067968,,Electrical Components & Equipment,Industrial Goods & Services,0.978082716,22.99884605
2918 JT Equity,Warabeya Nichiyo Holdings Co Ltd,1.702852011,48276680704,1.460387003,Food Products,Food & Beverage,1.084442616,22.94046783
4958 JT Equity,T Hasegawa Co Ltd,11.67892265,89473581056,1.670644391,Specialty Chemicals,Chemicals,0.989706576,22.91370392
7013 JT Equity,IHI Corp,3.188318968,5.56E+11,1.668984701,Diversified Industrials,Industrial Goods & Services,1.68778801,22.87623215
3382 JT Equity,Seven & i Holdings Co Ltd,8.146370888,4.15E+12,2.13629383,Broadline Retailers,Retail,1.705100894,22.87120438
4536 JT Equity,Santen Pharmaceutical Co Ltd,16.31323624,6.94E+11,1.593438826,Pharmaceuticals,Health Care,2.483031988,22.75090027
9722 JT Equity,Fujita Kanko Inc,2.824819088,38758572032,1.25984252,Hotels,Travel & Leisure,1.38689208,22.75007057
3167 JT Equity,TOKAI Holdings Corp,7.137619019,1.53E+11,2.552415679,Gas Distribution,Utilities,2.471107006,22.74046516
9749 JT Equity,Fuji Soft Inc,5.369985104,1.42E+11,0.866983373,Software,Technology,1.259673715,22.71623611
5444 JT Equity,Yamato Kogyo Co Ltd,7.555439949,2.08E+11,1.623376623,Iron & Steel,Basic Resources,0.706559956,22.70833778
4548 JT Equity,Seikagaku Corp,4.332691193,1.06E+11,1.391862955,Pharmaceuticals,Health Care,1.419514656,22.70296478
6082 JT Equity,Ride On Express Holdings Co Ltd,6.172575951,10743778304,0.979431929,Food Retailers & Wholesalers,Retail,2.174889326,22.65867805
4763 JT Equity,Creek & River Co Ltd,6.762318134,26769055744,1.013513514,Business Support Services,Industrial Goods & Services,3.866202593,22.61959267
2818 JT Equity,Pietro Co Ltd,5.053124905,10336944128,,Food Products,Food & Beverage,1.926274657,22.57755852
6032 JT Equity,Interworks Inc,22.02585793,9842704384,2.982107356,Computer Services,Technology,3.876339436,22.51173019
7725 JT Equity,Inter Action Corp,8.11068058,13248667648,0.758725341,Semiconductors,Technology,3.591402292,22.50414085
2379 JT Equity,Dip Corp,28.3728466,1.72E+11,1.80630038,Business Training Employment Agency,Industrial Goods & Services,7.406198978,22.50324249
4681 JT Equity,Resorttrust Inc,9.414731979,2.33E+11,2.208488735,Hotels,Travel & Leisure,1.965647697,22.46908379
